ISO3,Year,Variable,Value
ABW,2000,Bioenergy,0.0
ABW,2000,Coal,0.0
ABW,2000,Gas,0.0
ABW,2000,Hydro,0.0
ABW,2000,Nuclear,0.0
ABW,2000,Other Fossil,0.78
ABW,2000,Other Renewables,0.0
ABW,2000,Solar,0.0
ABW,2000,Wind,0.0
ABW,2001,Bioenergy,0.0
ABW,2001,Coal,0.0
ABW,2001,Gas,0.0
ABW,2001,Hydro,0.0
ABW,2001,Nuclear,0.0
ABW,2001,Other Fossil,0.81
ABW,2001,Other Renewables,0.0
ABW,2001,Solar,0.0
ABW,2001,Wind,0.0
ABW,2002,Bioenergy,0.0
ABW,2002,Coal,0.0
ABW,2002,Gas,0.0
ABW,2002,Hydro,0.0
ABW,2002,Nuclear,0.0
ABW,2002,Other Fossil,0.82
ABW,2002,Other Renewables,0.0
ABW,2002,Solar,0.0
ABW,2002,Wind,0.0
ABW,2003,Bioenergy,0.0
ABW,2003,Coal,0.0
ABW,2003,Gas,0.0
ABW,2003,Hydro,0.0
ABW,2003,Nuclear,0.0
ABW,2003,Other Fossil,0.84
ABW,2003,Other Renewables,0.0
ABW,2003,Solar,0.0
ABW,2003,Wind,0.0
ABW,2004,Bioenergy,0.0
ABW,2004,Coal,0.0
ABW,2004,Gas,0.0
ABW,2004,Hydro,0.0
ABW,2004,Nuclear,0.0
ABW,2004,Other Fossil,0.87
ABW,2004,Other Renewables,0.0
ABW,2004,Solar,0.0
ABW,2004,Wind,0.0
ABW,2005,Bioenergy,0.0
ABW,2005,Coal,0.0
ABW,2005,Gas,0.0
ABW,2005,Hydro,0.0
ABW,2005,Nuclear,0.0
ABW,2005,Other Fossil,0.91
ABW,2005,Other Renewables,0.0
ABW,2005,Solar,0.0
ABW,2005,Wind,0.0
ABW,2006,Bioenergy,0.0
ABW,2006,Coal,0.0
ABW,2006,Gas,0.0
ABW,2006,Hydro,0.0
ABW,2006,Nuclear,0.0
ABW,2006,Other Fossil,0.91
ABW,2006,Other Renewables,0.0
ABW,2006,Solar,0.0
ABW,2006,Wind,0.0
ABW,2007,Bioenergy,0.0
ABW,2007,Coal,0.0
ABW,2007,Gas,0.0
ABW,2007,Hydro,0.0
ABW,2007,Nuclear,0.0
ABW,2007,Other Fossil,0.94
ABW,2007,Other Renewables,0.0
ABW,2007,Solar,0.0
ABW,2007,Wind,0.0
ABW,2008,Bioenergy,0.0
ABW,2008,Coal,0.0
ABW,2008,Gas,0.0
ABW,2008,Hydro,0.0
ABW,2008,Nuclear,0.0
ABW,2008,Other Fossil,0.91
ABW,2008,Other Renewables,0.0
ABW,2008,Solar,0.0
ABW,2008,Wind,0.0
ABW,2009,Bioenergy,0.0
ABW,2009,Coal,0.0
ABW,2009,Gas,0.0
ABW,2009,Hydro,0.0
ABW,2009,Nuclear,0.0
ABW,2009,Other Fossil,0.92
ABW,2009,Other Renewables,0.0
ABW,2009,Solar,0.0
ABW,2009,Wind,0.03
ABW,2010,Bioenergy,0.0
ABW,2010,Coal,0.0
